Title,Date,Link,Image
សិក្ខាសាលាពិគ្រោះយោបល់លើសេចក្តីព្រាងនិយាមនីតិវិធីប្រតិបត្តិសង្ខេប នៃការផ្តល់សេវាសាធារណៈរបស់អគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា,ថ្ងៃទី២៦ ខែមិថុនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25985-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%96%E1%9E%B7%E1%9E%82%E1%9F%92%E1%9E%9A%E1%9F%84%E1%9F%87%E1%9E%99%E1%9F%84%E1%9E%94%E1%9E%9B%E1%9F%8B-2,https://api.customs.gov.kh/wp-content/uploads/2025/06/IMG_0145-600x399.jpg
សិក្ខាសាលាផ្សព្វផ្សាយស្តីពី “ការគ្រប់គ្រងការលើកទឹកចិត្តពន្ធនិងអាករ”,ថ្ងៃទី២៥ ខែមិថុនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25943-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%96%E1%9F%92%E1%9E%9C%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%99%E1%9E%9F-9,https://api.customs.gov.kh/wp-content/uploads/2025/06/1-4-600x400.jpg
កិច្ចប្រជុំអគ្គនាយកគយអាស៊ានលើកទី៣៤,ថ្ងៃទី៦ ខែមិថុនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25875-%E1%9E%80%E1%9E%B7%E1%9E%85%E1%9F%92%E1%9E%85%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%87%E1%9E%BB%E1%9F%86%E1%9E%A2%E1%9E%82%E1%9F%92%E1%9E%82%E1%9E%93%E1%9E%B6%E1%9E%99%E1%9E%80%E1%9E%82%E1%9E%99%E1%9E%A2-6,https://api.customs.gov.kh/wp-content/uploads/2025/06/2-1-600x417.jpg
ការចុះសួរសុខទុក្ខ និងនាំយកអំណោយរបស់សមាគមសង្គហមិត្តមន្ត្រីរាជការ នៃអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា ប្រគល់ជូនមជ្ឈមណ្ឌលកុមារកំព្រាអង្គការបេសកកម្មសុខុមាលភាពកម្ពុជា (CSW),ថ្ងៃទី៣០ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25739-%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-%E1%9E%93%E1%9E%B7%E1%9E%84%E1%9E%93-4,https://api.customs.gov.kh/wp-content/uploads/2025/06/9-600x450.jpg
កម្មវិធីចុះសួរសុខទុក្ខ និងនាំយកអំណោយសប្បុរសធម៌ ជូនសមាគមវិទ្យុ និងទូរស្សន៍អនឡាញសំឡេងជនពិការភ្នែក,ថ្ងៃទី៣០ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25699-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-7,https://api.customs.gov.kh/wp-content/uploads/2025/05/IMG_4441-600x400.jpg
កិច្ចប្រជុំស្តីពី ASEAN AEO MRA Joint Validation,ថ្ងៃទី២៨ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25719-%E1%9E%80%E1%9E%B7%E1%9E%85%E1%9F%92%E1%9E%85%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%87%E1%9E%BB%E1%9F%86%E1%9E%9F%E1%9F%92%E1%9E%8F%E1%9E%B8%E1%9E%96%E1%9E%B8-asean-aeo-mra-joint-validation,https://api.customs.gov.kh/wp-content/uploads/2025/06/photo_4_2025-06-03_09-53-11-600x400.jpg
សិក្ខាសាលាស្ដីពីការពង្រឹងកម្មសិទ្ធិបញ្ញាតាមព្រំដែន,ថ្ងៃទី២៦ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25669-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%9F%E1%9F%92%E1%9E%8A%E1%9E%B8%E1%9E%96%E1%9E%B8%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%96%E1%9E%84%E1%9F%92,https://api.customs.gov.kh/wp-content/uploads/2025/05/IMG_5483-600x400.jpg
សន្និសីទលើកទី២៦ អគ្គនាយកគយតំបន់អាស៊ី-ប៉ាស៊ីហ្វិក របស់អង្គការគយពិភពលោក,ថ្ងៃទី២៣ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25605-%E1%9E%9F%E1%9E%93%E1%9F%92%E1%9E%93%E1%9E%B7%E1%9E%9F%E1%9E%B8%E1%9E%91%E1%9E%9B%E1%9E%BE%E1%9E%80%E1%9E%91%E1%9E%B8%E1%9F%A2%E1%9F%A6-%E1%9E%A2%E1%9E%82%E1%9F%92%E1%9E%82%E1%9E%93%E1%9E%B6%E1%9E%99,https://api.customs.gov.kh/wp-content/uploads/2025/05/IMG_0855-600x283.jpg
សិក្ខាសាលាផ្សព្វផ្សាយស្តីពី ការដាក់ឱ្យអនុវត្តចំណូលសារពើពន្ធ របស់អគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា តាមមូលដ្ឋានបង្គរ,ថ្ងៃទី៩ ខែឧសភា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25533-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%96%E1%9F%92%E1%9E%9C%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%99%E1%9E%9F-8,https://api.customs.gov.kh/wp-content/uploads/2025/05/IMG_0255-600x400.jpg
កិច្ចប្រជុំទ្វេភាគី រវាងអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា និងរដ្ឋបាលគយជប៉ុន,ថ្ងៃទី២៣ ខែមេសា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25523-%E1%9E%80%E1%9E%B7%E1%9E%85%E1%9F%92%E1%9E%85%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%87%E1%9E%BB%E1%9F%86%E1%9E%91%E1%9F%92%E1%9E%9C%E1%9F%81%E1%9E%97%E1%9E%B6%E1%9E%82%E1%9E%B8-%E1%9E%9A%E1%9E%9C-5,https://api.customs.gov.kh/wp-content/uploads/2025/04/IMG_4495-600x400.jpg
កម្មវិធីចុះសួរសុខទុក្ខ និងនាំយកអំណោយសប្បុរសធម៌របស់សមាគមសង្គហមិត្តមន្ត្រីរាជការ នៃអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា ចែកជូនវិទ្យាល័យអប់រំពិសេសច្បារអំពៅ,ថ្ងៃទី៣ ខែមេសា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25465-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-5,https://api.customs.gov.kh/wp-content/uploads/2025/04/IMG_1670-600x400.jpg
កម្មវិធីចុះសួរសុខទុក្ខ និងនាំយកអំណោយជូនកងទ័ពនៅខេត្តសៀមរាប និងខេត្តឧត្តរមានជ័យ,ថ្ងៃទី៣០ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25395-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-3,https://api.customs.gov.kh/wp-content/uploads/2025/04/13-600x400.jpg
ការចុះហត្ថលេខាលើអនុស្សរណៈ នៃការយោគយល់គ្នា រវាងអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា និងក្រុមហ៊ុន DHL EXPRESS (CAMBODIA) LTD.,ថ្ងៃទី២៧ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25331-%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%A0%E1%9E%8F%E1%9F%92%E1%9E%90%E1%9E%9B%E1%9F%81%E1%9E%81%E1%9E%B6%E1%9E%9B%E1%9E%BE%E1%9E%A2%E1%9E%93%E1%9E%BB%E1%9E%9F%E1%9F%92%E1%9E%9F,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_7540-600x374.jpg
សិក្ខាសាលាស្តីពី កម្មវិធីប្រតិបត្តិករសេដ្ឋកិច្ចបានទទួលការអនុញ្ញាត,ថ្ងៃទី២៥ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25267-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%9F%E1%9F%92%E1%9E%8F%E1%9E%B8%E1%9E%96%E1%9E%B8-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_8220-600x400.jpg
សិក្ខាសាលាថ្នាក់តំបន់អាស៊ីប៉ាស៊ីហ្វិក ស្តីពី “ភាពជាអ្នកដឹកនាំគយ ឆ្នាំ២០២៥”,ថ្ងៃទី១៩ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25205-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%90%E1%9F%92%E1%9E%93%E1%9E%B6%E1%9E%80%E1%9F%8B%E1%9E%8F%E1%9F%86%E1%9E%94%E1%9E%93%E1%9F%8B%E1%9E%A2-2,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_8699-600x399.jpeg
ជំនួបសម្តែងការគួរសម និងពិភាក្សាការងារជាមួយគណៈប្រតិភូសភាពាណិជ្ជកម្មអាម៉េរិកប្រចាំនៅកម្ពុជា (AmCham Cambodia),ថ្ងៃទី១៩ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25181-%E1%9E%87%E1%9F%86%E1%9E%93%E1%9E%BD%E1%9E%94%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%8F%E1%9F%82%E1%9E%84%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%82%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%98-%E1%9E%93%E1%9E%B7%E1%9E%84,https://api.customs.gov.kh/wp-content/uploads/2025/03/6-1-600x507.jpg
ការធ្វើតេស្តរកសារធាតុញៀនរបស់មន្ត្រីរាជការ-បុគ្គលិក នៃអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា,ថ្ងៃទី១៤ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25103-%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%E1%9E%8F%E1%9F%81%E1%9E%9F%E1%9F%92%E1%9E%8F%E1%9E%9A%E1%9E%80%E1%9E%9F%E1%9E%B6%E1%9E%9A%E1%9E%92%E1%9E%B6%E1%9E%8F%E1%9E%BB%E1%9E%89,https://api.customs.gov.kh/wp-content/uploads/2025/03/36-600x401.jpg
សេចក្ដីប្រកាសព័ត៌មាន ស្តីពីការចាប់ឃាត់ សំបកកង់រថយន្តចាស់ៗប្រើរួចនាំចូលខុសច្បាប់,ថ្ងៃទី៧ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25043-%E1%9E%9F%E1%9F%81%E1%9E%85%E1%9E%80%E1%9F%92%E1%9E%8A%E1%9E%B8%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%80%E1%9E%B6%E1%9E%9F%E1%9E%96%E1%9F%90%E1%9E%8F%E1%9F%8C%E1%9E%98%E1%9E%B6%E1%9E%93-%E1%9E%9F-3,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_0995-450x600.jpg
សិក្ខាសាលាផ្សព្វផ្សាយស្តីពីការលើកទឹកចិត្តផ្នែកគយដល់សមាគមស្វាយចន្ទីកម្ពុជា,ថ្ងៃទី៣ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25021-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%96%E1%9F%92%E1%9E%9C%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%99%E1%9E%9F-7,https://api.customs.gov.kh/wp-content/uploads/2025/03/photo_2_2025-03-04_09-06-22-600x450.jpg
ពិធីកម្ទេចទំនិញល្មើសច្បាប់ និងទំនិញខូចគុណភាព,ថ្ងៃទី២៨ ខែកុម្ភៈ ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/24885-%E1%9E%96%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%91%E1%9F%81%E1%9E%85%E1%9E%91%E1%9F%86%E1%9E%93%E1%9E%B7%E1%9E%89%E1%9E%9B%E1%9F%92%E1%9E%98%E1%9E%BE%E1%9E%9F%E1%9E%85%E1%9F%92,https://api.customs.gov.kh/wp-content/uploads/2025/03/6-IMG_2416-600x400.jpg
